p1,p2,tilt
0.0566666667,0.1333333333,0.24862721989664321
0.0566666667,0.1381944444,0.13416758147351318
0.0566666667,0.1430555556,0.12103945573503218
0.0566666667,0.1479166667,0.17504629386699574
0.0566666667,0.1527777778,0.07423354300773667
0.0566666667,0.1576388889,0.06173432871146677
0.0566666667,0.1625,0.13860115865415729
0.0566666667,0.1673611111,0.35157323108050154
0.0566666667,0.1722222222,0.4163391036793385
0.0566666667,0.1770833333,0.49405097561015426
0.0566666667,0.1819444444,0.6868734818544502
0.0566666667,0.1868055556,0.8655032855014096
0.0566666667,0.1916666667,0.8349061509133011
0.0566666667,0.1965277778,1.0830277137135496
0.0566666667,0.2013888889,1.2936380271862806
0.0566666667,0.20625,1.344212897215237
0.0566666667,0.2111111111,1.3482500184520712
0.0566666667,0.2159722222,1.5341310730522122
0.0566666667,0.2208333333,1.8378619753888137
0.0566666667,0.2256944444,1.8710917726472809
0.0566666667,0.2305555556,1.903889447655271
0.0566666667,0.2354166667,2.225971374857373
0.0566666667,0.2402777778,2.1695104793179687
0.0566666667,0.2451388889,2.3897546699449848
0.0566666667,0.25,2.4685833331506575
0.0583333333,0.075,0.2356477316261484
0.0583333333,0.0798611111,0.18722681326448468
0.0583333333,0.0847222222,0.21419496395420218
0.0583333333,0.0895833333,0.15531680624120503
0.0583333333,0.0944444444,0.41576952288624147
0.0583333333,0.0993055556,0.5529116142505908
0.0583333333,0.1041666667,0.47432018453581215
0.0583333333,0.1090277778,0.5156274518407367
0.0583333333,0.1138888889,0.652339127498751
0.0583333333,0.11875,0.5076918140942381
0.0583333333,0.1236111111,0.4658213765334174
0.0583333333,0.1284722222,0.46785040005255124
0.0583333333,0.1333333333,0.35509654205522856
0.0583333333,0.1381944444,0.10988139189509377
0.0583333333,0.1430555556,0.2145765332754368
0.0583333333,0.1479166667,0.004075141612604525
0.0583333333,0.1527777778,0.20005462773198587
0.0583333333,0.1576388889,0.21631025024069195
0.0583333333,0.1625,0.33875682691009756
0.0583333333,0.1673611111,0.5059880708202092
0.0583333333,0.1722222222,0.5825973606861379
0.0583333333,0.1770833333,0.6882570391952899
0.0583333333,0.1819444444,0.9198434083026016
0.0583333333,0.1868055556,1.142858307737698
0.0583333333,0.1916666667,1.1422654742824498
0.0583333333,0.1965277778,1.2906220356228322
0.0583333333,0.2013888889,1.3969330395819575
0.0583333333,0.20625,1.4487432981250918
0.0583333333,0.2111111111,1.5902102211159475
0.0583333333,0.2159722222,1.7522268816750917
0.0583333333,0.2208333333,2.064031643121435
0.0583333333,0.2256944444,1.9726615138202581
0.0583333333,0.2305555556,2.2647052625699406
0.0583333333,0.2354166667,2.466942961312567
0.0583333333,0.2402777778,2.4742130436402654
0.0583333333,0.2451388889,2.5643145325224443
0.0583333333,0.25,2.6544169956276686
0.06,0.075,0.21140536666508278
0.06,0.0798611111,0.2382300076204482
0.06,0.0847222222,0.27136291910128835
0.06,0.0895833333,0.19697160707279696
0.06,0.0944444444,0.4037113630730162
0.06,0.0993055556,0.5574478543260144
0.06,0.1041666667,0.5819043976792732
0.06,0.1090277778,0.5543578603662687
0.06,0.1138888889,0.6768388539252842
0.06,0.11875,0.548193488818335
0.06,0.1236111111,0.4780843726285862
0.06,0.1284722222,0.5026659410169741
0.06,0.1333333333,0.4067562228361313
0.06,0.1381944444,0.14775585316826623
0.06,0.1430555556,0.22544809546008213
0.06,0.1479166667,0.06022993243892884
0.06,0.1527777778,0.18042990292732994
0.06,0.1576388889,0.19574092933094905
0.06,0.1625,0.32084408844357637
0.06,0.1673611111,0.46611798616693795
0.06,0.1722222222,0.538202021942786
0.06,0.1770833333,0.6525691407416966
0.06,0.1819444444,0.7974352989905932
0.06,0.1868055556,1.114859165942543
0.06,0.1916666667,1.1144823123680183
0.06,0.1965277778,1.1725555879463825
0.06,0.2013888889,1.479523593696441
0.06,0.20625,1.5325222991812828
0.06,0.2111111111,1.5591365352672335
0.06,0.2159722222,1.8606419063429396
0.06,0.2208333333,2.0576693827271564
0.06,0.2256944444,1.9646672667850174
0.06,0.2305555556,2.1212053367984374
0.06,0.2354166667,2.436352324279955
0.06,0.2402777778,2.5092440378859053
0.06,0.2451388889,2.5788271244199454
0.06,0.25,2.7947691968851394
0.0616666667,0.075,0.6078184105953434
0.0616666667,0.0798611111,0.05265371312809112
0.0616666667,0.0847222222,0.17678764353009865
0.0616666667,0.0895833333,0.12464718926185464
0.0616666667,0.0944444444,0.3433674996696405
